2013-01-02,552
2013-01-03,1092
2013-01-04,1794
2013-01-05,435
2013-01-06,960
2013-01-07,1066
2013-01-08,1354
2013-01-09,880
2013-01-10,1992
2013-01-11,931
2013-01-12,1209
2013-01-13,1491
2013-01-14,804
2013-01-15,480
2013-01-16,1891
2013-01-17,156
2013-01-18,1439
2013-01-19,1018
2013-01-20,1506
2013-01-21,1216
2013-01-22,2045
2013-01-23,400
2013-01-24,1795
2013-01-25,1977
2013-01-26,1002
2013-01-27,226
2013-01-28,1239
2013-01-29,702
2013-01-30,1396
2013-01-31,1145
2013-02-01,1369
2013-02-02,1159
2013-02-03,1538
2013-02-04,858
2013-02-05,612
2013-02-06,702
2013-02-07,137
2013-02-08,549
2013-02-09,720
2013-02-10,877
2013-02-11,808
2013-02-12,20
2013-02-13,579
2013-02-14,1952
2013-02-15,1311
2013-02-16,1995
2013-02-17,847
2013-02-18,955
2013-02-19,908
2013-02-20,401
2013-02-21,581
2013-02-22,2033
2013-02-23,719
2013-02-24,1638
2013-02-25,476
2013-02-26,17
2013-02-27,839
2013-02-28,1468
2013-03-01,1570
2013-03-02,1836
